3572353,"ICI PAINTS INDONESIA, JL.PUTAT GEDE TIMUR 7 RT.004 RW.011, PUTAT GEDE"
2861524,"MEKABOX INTERNATIONAL, JL KUPANG BARU"
96953936,"MEUBEL RIZKY, Jl. Raya Tandes Lor No.147, Tanjungsari, Kec. Sukomanunggal, Surabaya, Jawa Timur 60187"
96977623,"NRZ PRIMA GASKET, PT, Jl. Margomulya Indah C-1"
6199701,"ORGANIC HANS JAYA, Jl. Simo Gunung Barat 1 No. 9A"
96937320,"SABE INDONESIA, PT, Pergudangan Suri Mulia Permai Dd-11"
6200172,"SIMOJOYO ENGINEERING, Jl. Simojawar No.110-112"
6206842,"SS UTAMA SHOES DIVISION, PT, Jl. Raya Manukan Kulon No.80"
3992684,"SS. U T A M A, JL TANJUNGSARI 12"
98060893,"SUMBER BUKIT MAS, PT/SUMBER TELAGA BUKIT MAS, Jl. Simo Tambaan 23,"
3471859,"TATA KARYA MULIA, Jl. HR. Muhammad No. 171 Kav. D 5-6"
16808867,"TRI MATRA JAYA, JALAN KENCANASARI TIMUR XI no. 94-95, Desa/Kelurahan Gunung Sari, Kec. Dukuh Pakis"
98060902,"VERIMER, CV, Jl. Simorejo Sari B-Iii/5,"
4582547,"WAHANA PELITA PERSADA, JALAN KUPANG INDAH"
96965384,"CREATIVE VENEER PRATAMA, TANJUNG SARI 40 E"
98060835,"NAGAMAS PLASTIK, UD, JL. SIMOPOMAHAN 43 P,"
2924546,"REMAJA PRATAMA ENGINEERING, JL.TANJUNGSARI NO. NO 17, TANJUNGSARI"
96983646,"UNISON INDONESIA INDUSTRIAL, PT, JL. MARGOMULYO INDAH 1-D3, Balongsari, Tandes, Kota Surabaya, Jawa Timur"
KI35780008,"ARISU GRAPIC PRIMA , PT, JL.RUNGKUT INDUSTRI VIII NO.18-20"
KI35780116,"CIPTA AGUNG, PT"
KI35780018,"CLASSIC AUTOMOTIVE MANUFACTURING, PT, JL. RUNGKUT INDUSTRI II NO.41"
KI35780119,DSI UNDERGROUND
KI35780026,"ESKOL SURYA ANUGERAH, PT, JL. RUNGKUT INDUSTRI VIII NO.26-28"
KI35780032,"HASIL ABADI PERDANA, RUNGKUT INDUSTRI 3 NO 8"
KI35780134,"HERRY & CO, CV"
KI35780041,"KARYA BAKTI METALASRI, PT, JL.RUNGKUT INDUSTRI III NO.28A-30"
KI35780044,"KIAN MULYA MANUNGGAL, PT, JALAN RUNGKUT INDUSTRI I/16"
KI35780053,"LADANG SEHAT INDONESIA, JL. RUNGKUT INDUSTRI III NO.30A"
